0.101385	0.367520	SP
\	6441.064453	12296.577148
0.506924	3.041545	CRER
\	2593.156006	8866.920898
1.203945	1.482753	SP
\	6608.365234	11543.726562
2.724718	3.218969	SP
\	4851.710938	12631.178711
5.221319	7.869998	CRER
\	2509.505615	8699.620117
6.260514	6.666053	SP
\	5939.163574	12798.478516
7.946037	8.288210	SP
\	4600.760254	13049.430664
8.896519	9.302059	SP
\	5827.929351	12513.294481
9.973733	10.353927	SP
\	4851.710938	13969.581055
11.329756	13.750319	CRER
\	2091.254639	9117.871094
11.773314	12.077469	SP
\	6106.464355	12296.577148
12.660432	12.939240	SP
\	5604.562500	12296.577148
15.435842	15.879400	SP
\	4015.209229	13216.730469
16.170882	16.563748	SP
\	4098.859375	12463.878906
16.437017	18.730849	CRER
\	2676.806152	8699.620117
17.159384	17.514231	SP
\	5688.213379	12714.829102
18.198578	18.502733	SP
\	5353.612305	12463.878906
19.073023	19.465889	SP
\	4349.810059	12296.577148
