0.594519	1.053147	1
\	3324.873047	5152.284180
0.879038	1.189037	2
\	7284.264160	8451.776367
1.647666	2.072322	1
\	3299.492432	4923.857910
2.505471	3.223140	1
\	3451.776611	5177.664551
2.802731	3.193414	2
\	7131.979980	8274.111328
3.184921	3.516153	2
\	6878.172852	8375.634766
3.193414	3.482181	3
\	2284.263916	2817.258789
3.605331	3.719988	3
\	2233.502441	2791.878174
3.758207	3.898344	3
\	2284.263916	2893.401123
4.055466	4.700944	1
\	3248.730957	5177.664551
4.327246	4.509848	3
\	2360.406006	2766.497314
4.836834	5.023682	2
\	7233.502441	8121.827148
5.214778	5.860255	1
\	3324.873047	5177.664551
5.529023	5.805050	3
\	2233.502441	2741.116699
6.136282	6.764773	1
\	3350.253906	5050.895414
6.412308	6.620390	3
\	2258.883301	2741.116699
6.526965	6.866690	2
\	7005.076172	8096.446289
7.180936	7.843399	1
\	3350.253906	5177.664551
7.214908	7.448469	2
\	7309.644531	8375.634766
7.482442	7.635318	3
\	2258.883301	2741.116699
7.732989	7.864632	3
\	2284.263916	2766.497314
7.864632	7.996276	3
\	2309.644531	2817.258789
7.996276	8.149152	3
\	2309.644531	2817.258789
8.072714	8.603534	1
\	3324.873047	5203.045410
9.100382	11.291607	4
\	2030.456787	7563.452148
9.287230	9.771338	1
\	3248.730957	4847.715820
9.614216	9.813804	3
\	2335.025391	2868.020264
9.873256	10.043118	3
\	2233.502441	2741.116699
9.949694	10.246953	2
\	7208.122070	8527.918945
10.340378	10.484761	3
\	2258.883301	2639.593750
10.760787	11.053800	2
\	7055.837402	8299.492188
11.249142	11.584620	1
\	3451.776611	5076.142090
12.149413	12.663247	1
\	3426.395996	5304.568359
12.743932	12.977492	3
\	2284.263916	2842.639648
12.841603	13.092150	2
\	7385.786621	8350.253906
13.168588	13.720641	1
\	3401.015381	5126.903320
14.251461	14.824747	1
\	3375.634521	5126.903320
14.591186	15.886387	5
\	2182.740967	4390.862793
14.884199	15.037075	3
\	2360.406006	2842.639648
15.359814	16.098715	1
\	3426.395996	5304.568359
15.631594	15.805703	3
\	2233.502441	2893.401123
16.400221	16.578577	3
\	2335.025391	2969.543213
16.438440	16.680494	2
\	7233.502441	8629.441406
16.680494	17.436382	1
\	3274.111816	5279.187500
17.763367	18.498023	1
\	3477.157471	4974.619141
18.120079	18.417338	2
\	6903.553223	8197.969727
18.196517	19.636101	5
\	1903.553223	3299.492432
18.757063	19.449252	1
\	3426.395996	5000.000000
18.977884	19.330349	2
\	7208.122070	8604.060547
19.725279	20.285825	1
\	3223.350342	5279.187500
20.358017	22.519517	4
\	1192.893311	8451.776367
21.385685	21.542807	2
\	7487.309570	8781.725586
21.963217	22.090614	3
\	2208.121826	2614.213135
22.392120	22.544996	3
\	2182.740967	2715.735840
22.494037	22.765817	2
\	6878.172852	8020.304688
22.519517	24.222388	5
\	1954.314697	4949.238281
23.080063	23.368829	2
\	7182.741211	8527.918945
23.615129	24.222388	1
\	3401.015381	5050.761230
24.651291	25.560055	1
\	3020.304688	5583.756348
24.736222	25.041974	3
\	2182.740967	2893.401123
25.334987	25.606767	2
\	7233.502441	8172.588867
25.925259	26.456079	1
\	3299.492432	5279.187500
26.205532	26.447586	2
\	6954.314941	7969.542969
26.808544	27.080324	6
\	1624.365479	3172.588867
26.965667	27.441282	1
\	3324.873047	5228.426270
27.980595	28.600593	1
\	3172.588867	5076.142090
28.749223	29.037989	2
\	7208.122070	8248.730469
29.054975	29.335248	3
\	2182.740967	2918.781738
29.301276	29.836342	1
\	3248.730957	5203.045410
29.674973	29.921274	2
\	6827.411133	8045.685547
30.248259	30.677162	1
\	3401.015381	5507.614258
30.723874	31.912911	5
\	2081.218262	4365.481934
30.931955	31.224968	2
\	7182.741211	8553.299805
31.186749	31.594419	1
\	3426.395996	5279.187500
31.743049	31.883185	3
\	2233.502441	2868.020264
32.112499	32.596607	1
\	3197.969727	5228.426270
33.080715	33.505372	1
\	3426.395996	5152.284180
33.399208	35.446050	4
\	2081.218262	7461.928711
33.488385	33.683727	3
\	2309.644531	2817.258789
33.942767	34.240027	2
\	7309.644531	8654.822266
34.112630	34.320711	3
\	2157.360352	2715.735840
35.136051	35.526735	1
\	3426.395996	4974.619141
35.921665	36.036322	7
\	2106.598877	2969.543213
35.981117	36.308102	2
\	7182.741211	8578.679688
36.155226	36.244404	7
\	1979.695312	2842.639648
36.269883	36.749745	1
\	3197.969727	5126.903320
36.329335	36.427006	7
\	2106.598877	2690.355225
36.507691	36.592622	7
\	2055.837646	2791.878174
36.885635	37.509879	3
\	2081.218262	2944.162598
37.603304	38.427137	1
\	3553.299561	5228.426270
37.641523	37.972754	2
\	7055.837402	8350.253906
37.743440	37.824125	7
\	2157.360352	2741.116699
37.913303	38.567273	7
\	1979.695312	2969.543213
38.376178	38.635218	2
\	7233.502441	8426.395508
38.690423	38.771108	7
\	2157.360352	2715.735840
38.724396	39.331654	1
\	3350.253906	5431.471680
38.885765	38.970696	7
\	2208.121826	2741.116699
39.497270	40.079049	3
\	2157.360352	2893.401123
40.113022	40.580143	1
\	3223.350342	4898.477051
41.026032	41.590825	1
\	3401.015381	5076.142090
41.191648	41.637537	2
\	6903.553223	8197.969727
41.828632	42.571781	8
\	2081.218262	4162.436523
42.100412	42.525069	1
\	3477.157471	4974.619141
42.622740	44.516706	4
\	1649.746216	7538.071289
43.009177	43.234244	2
\	7208.122070	8654.822266
43.140820	43.714106	1
\	3604.061035	4619.289062
44.176981	44.864924	1
\	3248.730957	4822.334961
44.546432	44.741774	3
\	2157.360352	2842.639648
44.818212	45.140951	3
\	2309.644531	2918.781738
45.408484	46.015742	1
\	3172.588867	5025.380371
45.497662	45.667524	2
\	7208.122070	8553.299805
45.667524	46.015742	3
\	2233.502441	3045.685303
45.667524	45.909578	2
\	6903.553223	8578.679688
46.262043	46.618754	3
\	2106.598877	2944.162598
46.457385	46.996698	1
\	3477.157471	5025.380371
47.247245	47.595463	2
\	7233.502441	8527.918945
47.523272	47.820531	3
\	2233.502441	2868.020264
47.599710	48.198475	1
\	3223.350342	5406.091309
48.139023	48.393817	3
\	2284.263916	2969.543213
48.444776	49.009568	1
\	3121.827393	6269.035645
48.466008	48.899158	3
\	2233.502441	2842.639648
49.175184	51.404629	4
\	1903.553223	7436.548340
49.192170	49.523402	2
\	6979.695312	8578.679688
49.234636	49.523402	3
\	2208.121826	2791.878174
49.387512	49.773949	2
\	7258.883301	8832.487305
49.480937	49.931072	1
\	3375.634521	4695.431152
49.578608	49.837648	3
\	2233.502441	2893.401123
50.313263	50.585043	3
\	2284.263916	2791.878174
50.585043	51.149835	1
\	3578.680176	5076.142090
51.489560	51.680656	2
\	7182.741211	7994.923828
51.723121	52.194490	1
\	3324.873047	5025.380371
52.028874	52.224215	3
\	2208.121826	2842.639648
52.279421	52.440790	3
\	2081.218262	2766.497314
52.610653	52.852707	3
\	2131.979736	2817.258789
52.678598	53.166952	1
