0.562211	0.971958	1
\	3194.244385	5064.748047
0.819494	1.248298	3
\	7223.021484	8546.762695
1.629458	2.010618	1
\	3280.575684	4776.978516
2.506126	3.258917	2
\	3482.014648	5064.748047
2.763409	3.173156	3
\	7165.467773	8489.208984
3.173156	3.535257	3
\	6935.251953	8143.885254
4.002178	4.936020	2
\	3280.575684	4978.416992
4.268990	4.545331	5
\	2158.273193	2791.366943
4.735911	5.155187	3
\	7136.690430	8316.546875
5.155187	5.745984	1
\	3165.467773	5179.855957
5.488702	5.745984	5
\	2187.050537	2820.144043
6.089028	6.508304	1
\	3366.906250	5151.079102
6.355840	6.679826	5
\	2215.827393	2820.144043
6.508304	6.908522	3
\	6877.697754	8316.546875
7.194392	7.518378	3
\	7223.021484	8517.985352
7.384972	7.689900	5
\	2302.158447	2906.474854
7.994828	8.433161	1
\	3165.467773	5323.740723
9.157365	11.063164	4
\	3712.230225	7482.014160
